name_eng__c,province_abbreviation__c,unique_ext_id__c
Ocean View,WC,ocean_view
Lamberts Bay,WC,lambertsbaai
Struis Bay,WC,struisbaai
Kleinmond,WC,kleinmond
Port Nolloth,NC,portnolloth
Hondeklip Bay,NC,hondeklipbaai
Saint Helena,WC,sainthelena
Doring Bay,WC,doringbaai
Olifants,WC,olifants
Elands Bay,WC,elandsbaai
Demo Community,WC,democommunity
Muizenberg,WC,muizenberg
Bellville,WC,bellville
Hermanus,WC,hermanus
Kalk Bay,WC,kalk_bay
Grassy Park,WC,grassy_park
Strand,WC,strand
Strandfontein (False Bay),WC,strandfontein_falsebay
Hout Bay,WC,hout_bay
Simon's Town,WC,simonstown
Gordon's Bay,WC,gordons_bay
Arniston,WC,arniston
St Helena Island,SHI,sainthelenaisland
Langebaan,WC,langebaan
Paternoster,WC,paternoster
Bettys Bay,WC,bettysbay
Pringle Bay,WC,pringlebay
Cape Town,WC,capetown
Coffee Bay,KZN,coffeebay
